origin/claude/apps/android/chat-delete-for-me-vs-everyone	CONTENT_MERGED_PATCHID	PR_MERGED	#1624
origin/claude/apps/android/chat-encryption-disclaimer	CONTENT_MERGED_PATCHID	PR_MERGED	#2400
origin/claude/apps/android/chat-ephemeral-burned-transition	CONTENT_MERGED_PATCHID	PR_MERGED	#1952
origin/claude/apps/android/chat-ephemeral-countdown	SUBJECT_LANDED_SQUASH	PR_MERGED	#1950
origin/claude/apps/android/chat-forwarded-indicator	CONTENT_MERGED_PATCHID	PR_MERGED	#1737
origin/claude/apps/android/chat-gallery-neighbor-prefetch	SUBJECT_LANDED_SQUASH	PR_MERGED	#1944
origin/claude/apps/android/chat-gallery-page-caption	CONTENT_MERGED_PATCHID	PR_MERGED	#1942
origin/claude/apps/android/chat-gallery-page-header	CONTENT_MERGED_PATCHID	PR_MERGED	#1943
origin/claude/apps/android/chat-gallery-save-to-gallery	CONTENT_MERGED_PATCHID	PR_MERGED	#1951
origin/claude/apps/android/chat-in-app-browser-routing	CONTENT_MERGED_PATCHID	PR_MERGED	#1979
origin/claude/apps/android/chat-large-paste-detection	CONTENT_MERGED_PATCHID	PR_MERGED	#1975
origin/claude/apps/android/chat-link-preview-cache	CONTENT_MERGED_PATCHID	PR_MERGED	#1971
origin/claude/apps/android/chat-link-preview-core	CONTENT_MERGED_PATCHID	PR_MERGED	#1969
origin/claude/apps/android/chat-live-audio-translation	CONTENT_MERGED_PATCHID	PR_MERGED	#1816
origin/claude/apps/android/chat-live-location-sessions	CONTENT_MERGED_PATCHID	PR_MERGED	#1973
origin/claude/apps/android/chat-live-location-socket-fold	CONTENT_MERGED_PATCHID	PR_MERGED	#1977
origin/claude/apps/android/chat-live-transcription-merge	CONTENT_MERGED_PATCHID	PR_MERGED	#1786
origin/claude/apps/android/chat-live-translation-merge	CONTENT_MERGED_PATCHID	PR_MERGED	#1782
origin/claude/apps/android/chat-mention-remote-merge	CONTENT_MERGED_PATCHID	PR_MERGED	#1985
origin/claude/apps/android/chat-message-detail-explorer	CONTENT_MERGED_PATCHID	PR_MERGED	#1814
origin/claude/apps/android/chat-message-effects-editor	CONTENT_MERGED_PATCHID	PR_MERGED	#1946
origin/claude/apps/android/chat-message-effects-render-plan	CONTENT_MERGED_PATCHID	PR_MERGED	#1949
origin/claude/apps/android/chat-message-effects-resolver	CONTENT_MERGED_PATCHID	PR_MERGED	#1945
origin/claude/apps/android/chat-message-effects-send-encoding	CONTENT_MERGED_PATCHID	PR_MERGED	#1947
origin/claude/apps/android/chat-message-grouping	CONTENT_MERGED_PATCHID	PR_MERGED	#1900
origin/claude/apps/android/chat-message-ordering	CONTENT_MERGED_PATCHID	PR_MERGED	#1924
origin/claude/apps/android/chat-on-demand-translate	CONTENT_MERGED_PATCHID	PR_MERGED	#1804
origin/claude/apps/android/chat-open-scroll-to-unread	CONTENT_MERGED_PATCHID	PR_MERGED	#2379
origin/claude/apps/android/chat-overlay-action-menu	CONTENT_MERGED_PATCHID	PR_MERGED	#1962
origin/claude/apps/android/chat-overlay-drag-law	CONTENT_MERGED_PATCHID	PR_MERGED	#1963
origin/claude/apps/android/chat-overlay-media-transport	CONTENT_MERGED_PATCHID	PR_MERGED	#1967
origin/claude/apps/android/chat-overlay-preview-bubble	CONTENT_MERGED_PATCHID	PR_MERGED	#1964
origin/claude/apps/android/chat-pin-toggle	CONTENT_MERGED_PATCHID	PR_MERGED	#1720
origin/claude/apps/android/chat-pinned-day-header	CONTENT_MERGED_PATCHID	PR_MERGED	#2403
origin/claude/apps/android/chat-reply-preview-media	CONTENT_MERGED_PATCHID	PR_MERGED	#1754
origin/claude/apps/android/chat-report-message	CONTENT_MERGED_PATCHID	PR_MERGED	#1981
origin/claude/apps/android/chat-rich-text-segments	CONTENT_MERGED_PATCHID	PR_MERGED	#1571
origin/claude/apps/android/chat-slow-mode-cooldown	CONTENT_MERGED_PATCHID	PR_MERGED	#2298
origin/claude/apps/android/chat-sparkle-canvas	CONTENT_MERGED_PATCHID	PR_MERGED	#1960
origin/claude/apps/android/chat-starred-messages-list	CONTENT_MERGED_PATCHID	PR_MERGED	#1749
origin/claude/apps/android/chat-story-reply-preview	SUBJECT_LANDED_SQUASH	PR_MERGED	#1769
origin/claude/apps/android/chat-translation-language-strip	CONTENT_MERGED_PATCHID	PR_MERGED	#1793
origin/claude/apps/android/chat-typing-header	CONTENT_MERGED_PATCHID	PR_MERGED	#1607
origin/claude/apps/android/chat-typing-in-control	CONTENT_MERGED_PATCHID	PR_MERGED	#1603
origin/claude/apps/android/chat-typing-participants-core	CONTENT_MERGED_PATCHID	PR_MERGED	#1599
origin/claude/apps/android/chat-unread-separator	CONTENT_MERGED_PATCHID	PR_MERGED	#2376
origin/claude/apps/android/chat-viewonce-burned-tombstone	CONTENT_MERGED_PATCHID	PR_MERGED	#1954
origin/claude/apps/android/chat-voice-recording-pill	CONTENT_MERGED_PATCHID	PR_MERGED	#1965
origin/claude/apps/android/composer-attachment-affordances	CONTENT_MERGED_PATCHID	PR_MERGED	#2296
origin/claude/apps/android/composer-send-gate	SUBJECT_LANDED_SQUASH	PR_MERGED	#2300
origin/claude/apps/android/contacts-blocked-list	CONTENT_MERGED_PATCHID	PR_MERGED	#1446
origin/claude/apps/android/contacts-filter-counts	CONTENT_MERGED_PATCHID	PR_MERGED	#1470
origin/claude/apps/android/contacts-friends-room-cache	CONTENT_MERGED_PATCHID	PR_MERGED	#1461
