branche	date	commits_avance	fichiers_code_en_conflit	zones	statut_pr	prs
origin/claude/coverage/p2-notifications-gateway-sub1	2026-06-20	2	3	services/gateway	PR_CLOSED_UNMERGED	#726
origin/claude/coverage/p2-rate-limiting-gateway	2026-06-21	3	3	services/gateway	PR_MERGED	#748
origin/claude/coverage/p2-theme-web	2026-06-22	4	1	apps/web,bun.lock	PR_MERGED	#874
origin/claude/coverage/p2-tracking-update	2026-06-28	4	1	packages/shared,services/gateway	PR_MERGED	#980
origin/claude/coverage/p2-video-story-web	2026-06-22	2	1	apps/web	PR_MERGED	#892
origin/claude/coverage/sprint0-4-web-threshold	2026-06-14	2	1	apps/web,services/gateway	PR_MERGED	#654
origin/claude/coverage/sprint0-5-gateway-threshold	2026-06-14	2	1	services/gateway	PR_MERGED	#656
origin/claude/coverage/sprint0-6-translator-threshold	2026-06-15	2	1	services/translator	PR_MERGED	#657
origin/claude/coverage/web-test-fixes	2026-06-15	4	16	apps/web	PR_MERGED	#682
origin/claude/dazzling-hawking-qWDUW	2026-06-08	1	22	apps/ios,apps/web	PR_CLOSED_UNMERGED	#368,#393
origin/claude/dreamy-mayer-f4b72q	2026-06-19	2	1	apps/web	PR_MERGED	#717
origin/claude/dreamy-mayer-pell1v	2026-06-15	4	16	apps/web	NO_PR	-
origin/claude/eager-hamilton-pqo6im	2026-06-30	4	2	apps/ios	PR_MERGED	#1051
origin/claude/eager-hamilton-rl9k49	2026-07-01	3	4	apps/ios	PR_MERGED	#1257
origin/claude/eager-hamilton-vqjdx2	2026-06-30	2	1	apps/ios	PR_MERGED	#1070
origin/claude/ecstatic-archimedes-9h6xeb	2026-07-03	2	2	services/gateway	NO_PR	-
origin/claude/ecstatic-archimedes-jw3xpr	2026-06-30	5	2	packages/shared,services/gateway	PR_MERGED	#1140
origin/claude/ecstatic-archimedes-ru6vyu	2026-07-05	1	2	services/gateway	NO_PR	-
origin/claude/fervent-bardeen-1qo1j7	2026-06-25	3	2	apps/ios	NO_PR	-
origin/claude/fervent-bardeen-i8zv11	2026-06-25	28	1	services/gateway	PR_MERGED	#925
origin/claude/fix-ios-profile-display-YQFM3	2026-03-31	8	12	apps/web,apps/web_v2,packages/shared	PR_MERGED	#166
origin/claude/fix-story-playback-Uuu31	2026-03-31	1	6	apps/ios,packages/MeeshySDK	PR_MERGED	#164
origin/claude/gallant-cerf-DkX5k	2026-06-07	2	9	apps/web	NO_PR	-
origin/claude/intelligent-davinci-qvul3z	2026-06-10	3	4	apps/android	PR_MERGED	#552
origin/claude/ios-system-menu-design-ixuevv	2026-07-10	1	1	apps/ios,packages/MeeshySDK	PR_MERGED	#1811
origin/claude/iter8-uiux-optimization	2026-06-08	1	3	apps/ios,apps/web	NO_PR	-
origin/claude/keen-hamilton-5rkm85	2026-08-11	2	8	apps/web,packages/MeeshySDK,packages/shared,services/gateway	PR_CLOSED_UNMERGED	#2806
origin/claude/keen-hamilton-7w76mw	2026-08-12	2	1	.github/workflows,services/gateway	PR_MERGED	#2873
origin/claude/laughing-thompson-1ekmgf	2026-07-20	3	1	apps/ios	PR_MERGED	#2163
origin/claude/laughing-thompson-23qanh	2026-07-18	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-2v80lm	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-2yergu	2026-07-20	1	1	apps/ios	NO_PR	-
